Disease,Symptom1,Symptom2,Symptom3,Symptom4
Thoracic aortic aneurysm,Sharp chest pain,Dizziness,Back pain,Shortness of breath
Subdural hemorrhage,Headache,Dizziness,Problems with movement,Depressive or psychotic symptoms
Congenital rubella,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Diabetic retinopathy,Diminished vision,Spots or clouds in vision,Pain in eye,Lacrimation
Fibromyalgia,Back pain,Ache all over,Neck pain,Muscle pain
Ischemia of the bowel,Sharp abdominal pain,Vomiting,Diarrhea,Nausea
Fetal alcohol syndrome,Excessive anger,Temper problems,Lack of growth,Eye redness
Peritonitis,Sharp abdominal pain,Nausea,Vomiting,Back pain
Injury to the abdomen,Sharp abdominal pain,Sharp chest pain,Back pain,Burning abdominal pain
Acute pancreatitis,Sharp abdominal pain,Vomiting,Nausea,Upper abdominal pain
Thrombophlebitis,Leg pain,Leg swelling,Arm pain,Abnormal appearing skin
Asthma,Cough,Shortness of breath,Wheezing,Difficulty breathing
Foreign body in the vagina,Vaginal discharge,Pelvic pain,Painful urination,Lower abdominal pain
Restless leg syndrome,Abnormal involuntary movements,Leg pain,Headache,Sleepiness
Emphysema,Sharp chest pain,Shortness of breath,Chest tightness,Cough
Cysticercosis,Seizures,Headache,Vomiting,Shortness of breath
Induced abortion,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Cramps and spasms
Teething syndrome,Fever,Pulling at ears,Cough,Irritable infant
Infectious gastroenteritis,Vomiting,Diarrhea,Nausea,Sharp abdominal pain
Acute sinusitis,Cough,Nasal congestion,Sore throat,Headache
Von Hippel-Lindau disease,Seizures,Upper abdominal pain,Excessive growth,Abnormal appearing skin
Substance-related mental disorder,Depressive or psychotic symptoms,Delusions or hallucinations,Depression,Anxiety and nervousness
Postpartum depression,Depression,Recent pregnancy,Problems during pregnancy,Anxiety and nervousness
Coronary atherosclerosis,Sharp chest pain,Shortness of breath,Fatigue,Chest tightness
Spondylitis,Back pain,Low back pain,Leg pain,Neck pain
Pituitary adenoma,Headache,Loss of sensation,Diminished vision,Knee pain
Uterine fibroids,Sharp abdominal pain,Pelvic pain,Heavy menstrual flow,Lower abdominal pain
Idiopathic nonmenstrual bleeding,Intermenstrual bleeding,Unpredictable menstruation,Long menstrual periods,Pelvic pain
Chalazion,Mass on eyelid,Pain in eye,Swollen eye,Eye redness
Ovarian torsion,Sharp abdominal pain,Lower abdominal pain,Pelvic pain,Ache all over
Retinopathy due to high blood pressure,Diminished vision,Spots or clouds in vision,Symptoms of eye,Pain in eye
Vaginal yeast infection,Vaginal itching,Vaginal discharge,Painful urination,Sharp abdominal pain
Mastoiditis,Ear pain,Dizziness,Redness in ear,Fluid in ear
Lung contusion,Back pain,Sharp chest pain,Ache all over,Rib pain
Hypertrophic obstructive cardiomyopathy (HOCM),Sharp chest pain,Difficulty breathing,Anxiety and nervousness,Chest tightness
Ingrown toe nail,Irregular appearing nails,Foot or toe pain,Skin on leg or foot looks infected,Foot or toe swelling
Pulmonary eosinophilia,Cough,Shortness of breath,Fever,Nasal congestion
Open wound of the hip,Hip pain,Leg pain,Hip swelling,Open wound of the hip 	 	 		Open wound of the hip is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
Corneal disorder,Diminished vision,Pain in eye,Eye redness,Spots or clouds in vision
Foreign body in the gastrointestinal tract,Difficulty in swallowing,Vomiting,Sharp abdominal pain,Regurgitation
Endophthalmitis,Pain in eye,Eye redness,Swollen eye,Diminished vision
Intestinal malabsorption,Diarrhea,Vomiting,Sharp abdominal pain,Allergic reaction
Lead poisoning,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Viral warts,Warts,Skin lesion,Skin growth,Abnormal appearing skin
Hyperhidrosis,Sweating,Warts,Acne or pimples,Fever
Stroke,Focal weakness,Dizziness,Headache,Loss of sensation
Pilonidal cyst,Skin growth,Lower body pain,Ache all over,Skin swelling
Crushing injury,Hand or finger pain,Foot or toe pain,Loss of sensation,Hand or finger swelling
Normal pressure hydrocephalus,Problems with movement,Headache,Disturbance of memory,Depressive or psychotic symptoms
Alopecia,Too little hair,Irregular appearing scalp,Skin rash,Skin swelling
Hashimoto thyroiditis,Weight gain,Constipation,Heavy menstrual flow,Premenstrual tension or irritability
Flat feet,Foot or toe pain,Knee pain,Ankle pain,Problems with movement
Nonalcoholic liver disease (NASH),Sharp abdominal pain,Upper abdominal pain,Nausea,Dizziness
Hemarthrosis,Knee pain,Knee swelling,Frequent urination,Shoulder pain
Pelvic organ prolapse,Involuntary urination,Frequent urination,Symptoms of bladder,Retention of urine
Fracture of the arm,Arm pain,Wrist pain,Elbow pain,Shoulder pain
Coagulation (bleeding) disorder,Leg pain,Leg swelling,Nosebleed,Blood in urine
Intracranial hemorrhage,Headache,Depressive or psychotic symptoms,Disturbance of memory,Problems with movement
Hyperkalemia,Shortness of breath,Weakness,Nausea,Vomiting
Cornea infection,Pain in eye,Eye redness,Diminished vision,Symptoms of eye
Abscess of the lung,Cough,Sharp chest pain,Shortness of breath,Hemoptysis
Dengue fever,Sore throat,Fever,Shoulder cramps or spasms,Ankle pain
Chronic sinusitis,Cough,Nasal congestion,Headache,Sore throat
Cholesteatoma,Ear pain,Diminished hearing,Fluid in ear,Redness in ear
Volvulus,Sharp abdominal pain,Vomiting,Constipation,Burning abdominal pain
Injury to the finger,Hand or finger pain,Hand or finger swelling,Hand or finger stiffness or tightness,Hand or finger weakness
Poisoning due to analgesics,Depressive or psychotic symptoms,Depression,Vomiting,Abusing alcohol
Atrial fibrillation,Shortness of breath,Sharp chest pain,Palpitations,Dizziness
Pinworm infection,Itching of the anus,Sharp abdominal pain,Pain of the anus,Skin rash
Urethral valves,Side pain,Sharp abdominal pain,Lower abdominal pain,Suprapubic pain
Open wound of the neck,Skin lesion,Ache all over,Abnormal appearing skin,Peripheral edema
Achalasia,Sharp chest pain,Difficulty in swallowing,Back pain,Cough
Conductive hearing loss,Diminished hearing,Ear pain,Plugged feeling in ear,Redness in ear
Abdominal hernia,Sharp abdominal pain,Groin mass,Ache all over,Upper abdominal pain
Cerebral palsy,Seizures,Problems with movement,Cramps and spasms,Difficulty eating
Marijuana abuse,Drug abuse,Abusing alcohol,Depressive or psychotic symptoms,Depression
Cryptococcosis,Lip swelling,Fainting,Seizures,Depressive or psychotic symptoms
Obesity,Weight gain,Abnormal breathing sounds,Sleepiness,Apnea
Indigestion,Sharp abdominal pain,Burning abdominal pain,Nausea,Upper abdominal pain
Bursitis,Shoulder pain,Knee pain,Elbow pain,Arm pain
Esophageal cancer,Fatigue,Ache all over,Weakness,Sharp abdominal pain
Pulmonary congestion,Shortness of breath,Sharp chest pain,Cough,Difficulty breathing
Juvenile rheumatoid arthritis,Knee pain,Joint pain,Back pain,Ankle pain
Actinic keratosis,Abnormal appearing skin,Skin lesion,Skin dryness,scaliness
Acute otitis media,Ear pain,Fever,Cough,Nasal congestion
Astigmatism,Diminished vision,Symptoms of eye,Lacrimation,Spots or clouds in vision
Tuberous sclerosis,Seizures,Cramps and spasms,Delusions or hallucinations,Symptoms of the kidneys
Empyema,Cough,Shortness of breath,Hurts to breath,Back pain
Presbyacusis,Diminished hearing,Dizziness,Ringing in ear,Ear pain
Neonatal jaundice,Jaundice,Infant feeding problem,Irritable infant,Changes in stool appearance
Chronic obstructive pulmonary disease (COPD),Cough,Shortness of breath,Nasal congestion,Fever
Dislocation of the elbow,Arm pain,Elbow pain,Arm stiffness or tightness,Depression
Spondylosis,Low back pain,Back pain,Neck pain,Leg pain
Herpangina,Fever,Skin rash,Sore throat,Vomiting
Injury to the shoulder,Shoulder pain,Arm pain,Neck pain,Back pain
Poisoning due to antidepressants,Depression,Disturbance of memory,Drug abuse,Headache
Infection of open wound,Abnormal appearing skin,Leg pain,Fever,Hand or finger swelling
Deep vein thrombosis (DVT),Leg pain,Leg swelling,Abnormal appearing skin,Peripheral edema
Protein deficiency,Weakness,Nausea,Vomiting,Decreased appetite
Myoclonus,Abnormal involuntary movements,Seizures,Eye moves abnormally,Problems with movement
Bone spur of the calcaneous,Foot or toe pain,Ankle pain,Foot or toe swelling,Leg pain
Von Willebrand disease,Nosebleed,Itchy scalp,Fatigue,Long menstrual periods
Open wound of the back,Skin lesion,Lower body pain,Weight gain,Throat feels tight
Heart block,Sharp chest pain,Shortness of breath,Dizziness,Fainting
Colonic polyp,Rectal bleeding,Blood in stool,Constipation,Sharp abdominal pain
Hypospadias,Retention of urine,Recent weight loss,Unusual color or odor to urine,Symptoms of the scrotum and testes
Magnesium deficiency,Dizziness,Sharp abdominal pain,Leg pain,Sharp chest pain
Female infertility of unknown cause,Infertility,Unpredictable menstruation,Long menstrual periods,Scanty menstrual flow
Pericarditis,Sharp chest pain,Shortness of breath,Difficulty breathing,Chest tightness
Attention deficit hyperactivity disorder (ADHD),Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior
Neuromyelitis optica,Painful urination,Ache all over,Arm pain,Loss of sensation
Pulmonic valve disease,Lack of growth,Leg pain,Shortness of breath,Low back pain
Tietze syndrome,Sharp chest pain,Rib pain,Shortness of breath,Cough
Cranial nerve palsy,Double vision,Headache,Diminished vision,Abnormal involuntary movements
Injury to the arm,Wrist pain,Elbow pain,Arm pain,Hand or finger pain
Conversion disorder,Seizures,Depression,Sweating,Allergic reaction
Complex regional pain syndrome,Loss of sensation,Leg pain,Foot or toe pain,Paresthesia
Otosclerosis,Diminished hearing,Dizziness,Plugged feeling in ear,Ear pain
Injury to the trunk,Back pain,Rib pain,Sharp chest pain,Low back pain
Hypothyroidism,Fatigue,Weight gain,Too little hair,Muscle pain
Primary insomnia,Insomnia,Abnormal breathing sounds,Fatigue,Apnea
Lice,Itchy scalp,Skin rash,Cough,Itching of skin
Vitamin B12 deficiency,Fatigue,Paresthesia,Disturbance of memory,Problems with movement
Diabetes,Weight gain,Thirst,Symptoms of the kidneys,Diabetes 	 		 	Diabetes mellitus
Vulvodynia,Pelvic pain,Sharp abdominal pain,Lower abdominal pain,Pain during pregnancy
Endometriosis,Pelvic pain,Sharp abdominal pain,Lower abdominal pain,Painful menstruation
Vasculitis,Skin rash,Skin lesion,Headache,Leg pain
Concussion,Headache,Dizziness,Neck pain,Vomiting
Oral leukoplakia,Tongue lesions,Fever,Hemoptysis,Skin swelling
Chronic kidney disease,Fatigue,Shortness of breath,Symptoms of the kidneys,Peripheral edema
Bladder disorder,Symptoms of bladder,Blood in urine,Frequent urination,Sharp abdominal pain
Chorioretinitis,Diminished vision,Spots or clouds in vision,Eye burns or stings,Pain in eye
Priapism,Penis pain,Painful urination,Back pain,Pain during intercourse
Myositis,Leg pain,Knee pain,Skin rash,Back pain
Mononucleosis,Sore throat,Fever,Headache,Swollen lymph nodes
Neuralgia,Back pain,Leg pain,Loss of sensation,Neck pain
Polycystic kidney disease,Side pain,Blood in urine,Sharp abdominal pain,Kidney mass
Bipolar disorder,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Insomnia
Amyloidosis,Shortness of breath,Fatigue,Anxiety and nervousness,Symptoms of the kidneys
Chronic inflammatory demyelinating polyneuropathy (CIDP),Loss of sensation,Weakness,Problems with movement,Leg weakness
Gastroesophageal reflux disease (GERD),Sharp chest pain,Sharp abdominal pain,Vomiting,Heartburn
Vitreous hemorrhage,Diminished vision,Spots or clouds in vision,Blindness,Symptoms of eye
Poisoning due to antimicrobial drugs,Skin rash,Allergic reaction,Problems with movement,Abnormal involuntary movements
Open wound of the mouth,Tongue lesions,Toothache,Seizures,Lip swelling
Scleroderma,Skin lesion,Skin rash,Skin dryness,scaliness
Myasthenia gravis,Double vision,Weakness,Fatigue,Abnormal movement of eyelid
Hypoglycemia,Depressive or psychotic symptoms,Weakness,Dizziness,Fainting
Idiopathic absence of menstruation,Absence of menstruation,Sharp abdominal pain,Unpredictable menstruation,Nausea
Dislocation of the ankle,Ankle pain,Ankle swelling,Foot or toe pain,Eye strain
Carbon monoxide poisoning,Headache,Nausea,Dizziness,Vomiting
Panic attack,Shortness of breath,Dizziness,Sharp chest pain,Loss of sensation
Plantar fasciitis,Foot or toe pain,Ankle pain,Knee pain,Ankle swelling
Hyperopia,Diminished vision,Symptoms of eye,Abnormal movement of eyelid,Itchiness of eye
Poisoning due to sedatives,Depressive or psychotic symptoms,Sleepiness,Depression,Insomnia
Pemphigus,Skin lesion,Skin rash,Abnormal appearing skin,Itching of skin
Peyronie disease,Impotence,Penis pain,Symptoms of prostate,Mass in scrotum
Hiatal hernia,Sharp abdominal pain,Sharp chest pain,Nausea,Vomiting
Extrapyramidal effect of drugs,Abnormal involuntary movements,Seizures,Anxiety and nervousness,Disturbance of memory
Meniere disease,Dizziness,Diminished hearing,Ringing in ear,Plugged feeling in ear
Anal fissure,Rectal bleeding,Pain of the anus,Blood in stool,Constipation
Allergy,Skin rash,Allergic reaction,Itching of skin,Peripheral edema
Chronic otitis media,Redness in ear,Ear pain,Nasal congestion,Cough
Fracture of the finger,Hand or finger pain,Foot or toe pain,Hand or finger swelling,Foot or toe swelling
Hirschsprung disease,Constipation,Ankle pain,Vomiting,Sharp abdominal pain
Polymyalgia rheumatica,Fatigue,Shoulder pain,Leg pain,Ache all over
Lymphedema,Skin lesion,Leg swelling,Peripheral edema,Leg pain
Bladder cancer,Blood in urine,Retention of urine,Symptoms of bladder,Bladder mass
Acute bronchospasm,Cough,Shortness of breath,Wheezing,Fever
Acute glaucoma,Diminished vision,Pain in eye,Symptoms of eye,Eye redness
Open wound of the chest,Sharp chest pain,Drug abuse,Lip swelling,Open wound of the chest 	 Also known as Open Chest Wound 	 	 		Open wound of the chest is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
Dislocation of the patella,Knee pain,Knee swelling,Fluid retention,Problems during pregnancy
Sciatica,Back pain,Leg pain,Low back pain,Hip pain
Hypercalcemia,Weakness,Dizziness,Loss of sensation,Feeling ill
Stress incontinence,Involuntary urination,Frequent urination,Painful urination,Symptoms of bladder
Varicose veins,Skin lesion,Leg pain,Peripheral edema,Ache all over
Benign kidney cyst,Side pain,Sharp abdominal pain,Blood in urine,Vomiting
Hydrocele of the testicle,Swelling of scrotum,Pain in testicles,Groin pain,Mass in scrotum
Degenerative disc disease,Back pain,Low back pain,Leg pain,Neck pain
Hirsutism,Unwanted hair,Unpredictable menstruation,Acne or pimples,Fatigue
Dislocation of the foot,Foot or toe pain,Vomiting,Ankle pain,Knee weakness
Hydronephrosis,Side pain,Sharp abdominal pain,Back pain,Nausea
Diverticulosis,Sharp abdominal pain,Rectal bleeding,Constipation,Diarrhea
Pain after an operation,Sharp abdominal pain,Back pain,Sharp chest pain,Headache
Huntington disease,Constipation,Problems with movement,Depression,Anxiety and nervousness
West Nile virus,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Lymphoma,Fatigue,Neck mass,Regurgitation,Hoarse voice
Dermatitis due to sun exposure,Abnormal appearing skin,Skin lesion,Skin rash,Skin moles
Anemia due to chronic kidney disease,Fatigue,Weakness,Shortness of breath,Peripheral edema
Injury to internal organ,Sharp abdominal pain,Side pain,Sharp chest pain,Rib pain
Scleritis,Pain in eye,Eye redness,Headache,Lacrimation
Pterygium,Pain in eye,Symptoms of eye,Eye redness,Diminished vision
Fungal infection of the skin,Skin rash,Itching of skin,Abnormal appearing skin,Skin lesion
Insulin overdose,Diarrhea,Weakness,Depressive or psychotic symptoms,Wrist weakness
Syndrome of inappropriate secretion of ADH (SIADH),Dizziness,Shoulder pain,Neck pain,Headache
Foreign body in the ear,Ear pain,Diminished hearing,Bleeding from ear,Fluid in ear
Premenstrual tension syndrome,Premenstrual tension or irritability,Headache,Unpredictable menstruation,Back pain
Orbital cellulitis,Swollen eye,Eye redness,Pain in eye,Fever
Injury to the leg,Knee pain,Foot or toe pain,Ankle pain,Leg pain
Hepatic encephalopathy,Depressive or psychotic symptoms,Sharp abdominal pain,Shortness of breath,Peripheral edema
Bone cancer,Low back pain,Ache all over,Back pain,Leg pain
Leishmaniasis,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Chagas disease,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Syringomyelia,Back pain,Shoulder pain,Headache,Neck pain
Pulmonary fibrosis,Shortness of breath,Cough,Sharp chest pain,Difficulty breathing
Mitral valve disease,Sharp chest pain,Palpitations,Shortness of breath,Fatigue
Parkinson disease,Abnormal involuntary movements,Problems with movement,Disturbance of memory,Dizziness
Gout,Foot or toe pain,Knee pain,Foot or toe swelling,Ankle pain
Otitis media,Ear pain,Fever,Cough,Nasal congestion
Drug abuse (opioids),Drug abuse,Depressive or psychotic symptoms,Depression,Anxiety and nervousness
Myelodysplastic syndrome,Fatigue,Chills,Difficulty speaking,Coughing up sputum
Fracture of the shoulder,Shoulder pain,Arm pain,Bones are painful,Arm stiffness or tightness
Acute kidney injury,Shortness of breath,Weakness,Vomiting,Dizziness
Threatened pregnancy,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Uterine contractions
Intracranial abscess,Seizures,Fever,Back pain,Headache
Gum disease,Toothache,Gum pain,Facial pain,Peripheral edema
Open wound from surgical incision,Skin lesion,Skin swelling,Recent pregnancy,Knee swelling
Gastrointestinal hemorrhage,Blood in stool,Rectal bleeding,Sharp abdominal pain,Melena
Seborrheic dermatitis,Skin rash,Skin dryness,scaliness,49
Drug abuse (methamphetamine),Drug abuse,Depressive or psychotic symptoms,Anxiety and nervousness,Depression
Torticollis,Neck pain,Neck stiffness or tightness,Headache,Neck cramps or spasms
Poisoning due to antihypertensives,Depressive or psychotic symptoms,Dizziness,Itching of skin,Skin rash
Tension headache,Headache,Neck pain,Nausea,Dizziness
Alcohol intoxication,Abusing alcohol,Depressive or psychotic symptoms,Vomiting,Depression
Scurvy,Sharp abdominal pain,Skin moles,Knee lump or mass,Excessive growth
Narcolepsy,Sleepiness,Fatigue,Apnea,Headache
Food allergy,Allergic reaction,Skin rash,Itching of skin,Nasal congestion
Labyrinthitis,Dizziness,Nausea,Vomiting,Headache
Anxiety,Anxiety and nervousness,Depression,Sharp chest pain,Depressive or psychotic symptoms
Impulse control disorder,Depressive or psychotic symptoms,Anxiety and nervousness,Hostile behavior,Depression
Stenosis of the tear duct,Lacrimation,Symptoms of eye,Eye redness,Nasal congestion
Abscess of nose,Nasal congestion,Cough,Fever,Coryza
Omphalitis,Irregular belly button,Flatulence,Irritable infant,Diaper rash
Leukemia,Fatigue,Fever,Mouth pain,Pallor
Bell palsy,Focal weakness,Loss of sensation,Symptoms of the face,Headache
Conjunctivitis due to allergy,Eye redness,Itchiness of eye,Pain in eye,Lacrimation
Drug reaction,Skin rash,Allergic reaction,Itching of skin,Dizziness
Adrenal cancer,Skin rash,Dizziness,Cough,Diaper rash
Myopia,Diminished vision,Spots or clouds in vision,Pain in eye,Symptoms of eye
Osteoarthritis,Knee pain,Hip pain,Shoulder pain,Back pain
Thyroid disease,Neck mass,Difficulty in swallowing,Hot flashes,Neck swelling
Pharyngitis,Cough,Fever,Sore throat,Wheezing
Chronic rheumatic fever,Shortness of breath,Sharp chest pain,Palpitations,Difficulty breathing
Hypocalcemia,Shortness of breath,Sharp abdominal pain,Loss of sensation,Seizures
Macular degeneration,Diminished vision,Spots or clouds in vision,Symptoms of eye,Pain in eye
Pneumonia,Cough,Fever,Shortness of breath,Sharp chest pain
Cold sore,Skin rash,Lip sore,Mouth ulcer,Fever
Premature ventricular contractions (PVCs),Palpitations,Irregular heartbeat,Sharp chest pain,Fainting
Chancroid,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Testicular cancer,Mass in scrotum,Anxiety and nervousness,Ache all over,Nausea
Hydrocephalus,Headache,Seizures,Vomiting,Depressive or psychotic symptoms
Breast cancer,Lump or mass of breast,Pain or soreness of breast,Hot flashes,Bleeding or discharge from nipple
Anemia due to malignancy,Fatigue,Shortness of breath,Difficulty in swallowing,Pain of the anus
Esophageal varices,Burning abdominal pain,Nausea,Changes in stool appearance,Dizziness
Endometrial cancer,Vaginal bleeding after menopause,Intermenstrual bleeding,Pelvic pain,Hot flashes
Cystic Fibrosis,Cough,Feeling ill,Decreased appetite,Intermenstrual bleeding
Intertrigo (skin condition),Skin rash,Abnormal appearing skin,Skin dryness,scaliness
Parathyroid adenoma,Shoulder pain,Weakness,Anxiety and nervousness,Disturbance of memory
Glucocorticoid deficiency,Shortness of breath,Weakness,Diarrhea,Problems with movement
Temporomandibular joint disorder,Facial pain,Ear pain,Headache,Neck pain
Wilson disease,Sleepiness,Diminished vision,Fatigue,Abnormal breathing sounds
Vesicoureteral reflux,Suprapubic pain,Fever,Blood in urine,Constipation
Vitamin A deficiency,Fatigue,Hand or finger pain,Knee lump or mass,Eye strain
Gonorrhea,Penile discharge,Sharp abdominal pain,Vaginal discharge,Vaginal itching
Fracture of the rib,Rib pain,Sharp chest pain,Back pain,Side pain
Ependymoma,Diminished vision,Pain in eye,Headache,Eyelid swelling
Hepatitis due to a toxin,Sharp abdominal pain,Nausea,Diarrhea,Vomiting
Vaginal cyst,Sharp abdominal pain,Spotting or bleeding during pregnancy,Pelvic pain,Vaginal pain
Open wound of the shoulder,Shoulder pain,Arm pain,Shoulder stiffness or tightness,Arm swelling
Ectopic pregnancy,Sharp abdominal pain,Pain during pregnancy,Spotting or bleeding during pregnancy,Lower abdominal pain
Chronic knee pain,Knee pain,Leg pain,Knee swelling,Back pain
Pinguecula,Symptoms of eye,Lacrimation,Double vision,Headache
Hypergammaglobulinemia,Fatigue,Hip stiffness or tightness,Blood in stool,Knee stiffness or tightness
Alcohol abuse,Abusing alcohol,Depressive or psychotic symptoms,Drug abuse,Depression
Carpal tunnel syndrome,Loss of sensation,Hand or finger pain,Wrist pain,Paresthesia
Pituitary disorder,Headache,Lack of growth,Pain in eye,Sleepiness
Kidney stone,Side pain,Sharp abdominal pain,Back pain,Vomiting
Autism,Seizures,Depressive or psychotic symptoms,Hostile behavior,Lack of growth
Cat scratch disease,Neck swelling,Skin swelling,Groin mass,Skin rash
Chronic glaucoma,Diminished vision,Pain in eye,Symptoms of eye,Spots or clouds in vision
Retinal detachment,Spots or clouds in vision,Diminished vision,Blindness,Symptoms of eye
Aplastic anemia,Fatigue,Fever,Weakness,Nausea
Overflow incontinence,Retention of urine,Involuntary urination,Symptoms of bladder,Frequent urination
Rabies,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Hemolytic anemia,Fatigue,Cough,Nausea,Weakness
Lateral epicondylitis (tennis elbow),Elbow pain,Arm pain,Shoulder pain,Loss of sensation
Open wound of the eye,Pain in eye,Diminished vision,Symptoms of eye,Spots or clouds in vision
Syphilis,Skin rash,Headache,Vaginal discharge,Foot or toe swelling
Diabetic kidney disease,Leg swelling,Impotence,Hurts to breath,Lack of growth
Nose disorder,Nasal congestion,Cough,Fever,Sore throat
Drug withdrawal,Vomiting,Nausea,Antisocial behavior,Anxiety and nervousness
Dental caries,Toothache,Gum pain,Facial pain,Peripheral edema
Hypercholesterolemia,Sharp chest pain,Palpitations,Weight gain,Excessive urination at night
Fracture of the patella,Knee pain,Leg pain,Knee swelling,Ankle pain
Kidney failure,Shortness of breath,Nausea,Weakness,Sharp chest pain
Fracture of the neck,Hip pain,Low back pain,Leg pain,Groin pain
Muscle spasm,Neck pain,Back pain,Shoulder pain,Leg pain
Hemophilia,Leg pain,Cough,Headache,Bleeding gums
Hyperosmotic hyperketotic state,Weakness,Thirst,Frequent urination,Cough
Peritonsillar abscess,Sore throat,Difficulty in swallowing,Swollen or red tonsils,Fever
Gastroparesis,Vomiting,Nausea,Sharp abdominal pain,Regurgitation
Itching of unknown cause,Itching of skin,Skin rash,Allergic reaction,Abnormal appearing skin
Fat embolism,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Polycythemia vera,Fatigue,Skin lesion,Dizziness,Headache
Thrombocytopenia,Sharp chest pain,Fatigue,Blood in urine,Nosebleed
Head and neck cancer,Sore throat,Difficulty in swallowing,Mouth pain,Throat feels tight
Pseudohypoparathyroidism,Knee pain,Foot or toe pain,Wrist pain,Low back pain
Goiter,Fatigue,Weight gain,Neck mass,Difficulty in swallowing
Urge incontinence,Frequent urination,Involuntary urination,Symptoms of bladder,Retention of urine
Edward syndrome,Fever,Suprapubic pain,Knee lump or mass,Excessive growth
Open wound of the arm,Arm pain,Elbow pain,Redness in or around nose,Elbow lump or mass
Muscular dystrophy,Fatigue,Headache,Muscle weakness,Cough
Mittelschmerz,Sharp abdominal pain,Lower abdominal pain,Pelvic pain,Painful menstruation
Corneal abrasion,Pain in eye,Eye redness,Symptoms of eye,Swollen eye
Anemia of chronic disease,Weakness,Diarrhea,Fatigue,Dizziness
Dysthymic disorder,Depression,Anxiety and nervousness,Depressive or psychotic symptoms,Insomnia
Scarlet fever,Skin rash,Fever,Sore throat,Cough
Hypertensive heart disease,Palpitations,Shortness of breath,Sharp chest pain,Difficulty breathing
Drug abuse (barbiturates),Drug abuse,Abusing alcohol,Anxiety and nervousness,Depression
Polycystic ovarian syndrome (PCOS),Infertility,Unpredictable menstruation,Weight gain,Pelvic pain
Encephalitis,Headache,Loss of sensation,Seizures,Dizziness
