Facility Name,Address,City,County,Zip,Phone,License #,Facility Type,Exp. Date
Decatur Memorial Hospital,2300 N Edward Street,Decatur,Macon,62526,(217) 876-8121,0000471,General Hospital,2022-12-31
Delnor Community Hospital - DBA Northwestern Medicine Delnor Community Hospital,300 Randall Rd,Geneva,Kane,60134,(630) 208-3000,0005736,General Hospital,2023-03-30
Edward Hospital,801 S Washington St,Naperville,Du Page,60540,(630) 527-3000,0003905,General Hospital,2023-06-30
Elmhurst Memorial Hospital,155 E Brush Hill Rd,Elmhurst,Du Page,60126,(331) 221-0130,0005751(1),General Hospital,2023-06-24
Encompass Health Rehabilitation Institute of Libertyville,1201 American Way,Libertyville,Lake,60048,(847) 371-6521,0006288,Rehabilitation Hospital,2023-03-16
Fairfield Memorial Hospital,303 NW 11th Street,Fairfield,Wayne,62837,(618) 842-2611,0000679,Critical Access Hospital,2023-12-31
Ferrell Hospital Community Foundation,1201 Pine St,Eldorado,Saline,62930,(618) 273-3361,0005363,Critical Access Hospital,2023-03-30
FHN Memorial Hospital,1045 W Stephenson St,Freeport,Stephenson,61032,(815) 599-6000,0000778,General Hospital,2023-12-31
"Franciscan Alliance, Inc. - DBA Franciscan Health-Olympia Fields",20201 S Crawford Avenue,Olympia Fields,Cook,60461,(708) 747-4000,0005074,General Hospital,2023-01-07
Franklin Hospital,201 Bailey Lane,Benton,Franklin,62812,(618) 439-3161,0005231,Critical Access Hospital,2023-10-10
"Garfield Park Hospital, LLC - DBA Garfield Park Hospital",520 N Ridgeway Ave,Chicago,Cook,60624,(773) 265-3700,0005918,Psychiatric Hospital,2023-05-13
Genesis Health System - DBA Genesis Medical Center - Silvis,801 Illini Dr,Silvis,Rock Island,61282,(309) 281-4000,0005413,General Hospital,2023-06-30
Genesis Medical Center Aledo,409 Northwest 9th Ave,Aledo,Mercer,61231,(309) 582-9100,0005868,Critical Access Hospital,2023-01-31
Gibson Community Hospital,1120 N Melvin St,Gibson City,Ford,60936,(217) 784-4251,0000836,Critical Access Hospital,2023-12-31
Good Samaritan Hospital - Advocate,3815 Highland Ave,Downers Grove,Du Page,60515,(630) 275-5900,0003384,General Hospital,2022-12-31
Good Samaritan Regional Health Center - DBA SSM Health Good Samaritan Hospital - Mt. Vernon,1 Good Samaritan Way,Mt. Vernon,Jefferson,62864,(618) 242-4600,0005850,General Hospital,2023-01-27
Gottlieb Community Health Services Corporation - DBA MacNeal Hospital,3249 S Oak Park Ave,Berwyn,Cook,60402,(708) 783-9100,0006106,General Hospital,2023-02-28
Gottlieb Memorial Hospital - DBA Loyola Health System at Gottlieb,701 W North Ave,Melrose Park,Cook,60160,(708) 538-6920,0005793,General Hospital,2023-06-29
Graham Hospital Association,210 West Walnut Street,Canton,Fulton,61520,(309) 647-5240,0000869,General Hospital,2023-12-31
"Granite City Illinois Hospital Company, LLC - DBA Gateway Regional Medical Center",2100 Madison Ave,Granite City,Madison,62040,(618) 798-3000,0005223,General Hospital,2023-01-02
Greater Peoria Specialty Hospital LLC - DBA OSF Healthcare Transitional Care Hospital,500 W Romeo B Garrett Ave,Peoria,Peoria,61605,(309) 680-1500,0006262,Long Term Acute Care Hospital,2023-09-30
Hamilton Memorial Hospital,611 S Marshall Ave,McLeansboro,Hamilton,62859,(618) 643-2361,0000885,Critical Access Hospital,2023-06-30
Hammond-Henry Hospital,600 N. College Avenue OFC,Geneseo,Henry,61254,(309) 944-6431,0000893,Critical Access Hospital,2023-06-30
Hardin County General Hospital,"6 Ferrell Road, P.O. Box 2467",Rosiclare,Hardin,62982,(618) 285-6634,0000901,Critical Access Hospital,2023-12-31
"Harrisburg Medical Center, Inc.",100 Dr Warren Tuttle Dr,Harrisburg,Saline,62946,(618) 253-7671,0000521,General Hospital,2023-06-30
Herrin Hospital,201 S 14th Street,Herrin,Williamson,62948,(618) 942-2171,0000935,General Hospital,2022-12-31
Hillsboro Area Hospital,1200 East Tremont Street,Hillsboro,Montgomery,62049,(217) 532-6111,0000968,Critical Access Hospital,2023-12-31
Holy Cross Hospital,2701 W 68th St,Chicago,Cook,60629,(773) 884-9000,0000992,General Hospital,2023-12-31
Hoopeston Community Memorial Hospital - DBA Carle Hoopeston Regional Health Center,701 E Orange St,Hoopeston,Vermilion,60942,(217) 283-5531,0004200,Critical Access Hospital,2023-06-30
Hopedale Hospital,107 Tremont Street. PO Box 267,Hopedale,Tazewell,61747,(309) 449-4394,0001024,Critical Access Hospital,2023-12-31
"HSHS Good Shepherd Hospital, Inc.",200 S Cedar St,Shelbyville,Shelby,62565,(217) 774-3961,0002154,General Hospital,2023-06-30
"HSHS Holy Family Hospital, Inc.",200 Health Care Drive,Greenville,Bond,62246,(618) 664-1230,0005355,General Hospital,2023-10-25
HSHS St Elizabeth's Hospital,1 Saint Elizabeth Blvd,O'Fallon,St Clair,62269,(618) 234-2120,0006064,General Hospital,2023-11-03
Humboldt Park Health,1044 N Francisco Ave,Chicago,Cook,60622,(773) 292-8200,0001727,General Hospital,2023-12-31
Ingalls Memorial Hospital,1 Ingalls Drive,Harvey,Cook,60426,(708) 333-2300,0001099,General Hospital,2022-12-31
Insight Hospital & Medical Center,2525 South Michigan Ave,Chicago,Cook,60616,(312) 567-2000,0006247,General Hospital,2023-05-31
Iroquois Memorial Hospital,200 Fairman Ave,Watseka,Iroquois,60970,(815) 432-5841,0001107,General Hospital,2023-06-30
Jackson Park Hospital,7531 S Stony Island Ave,Chicago,Cook,60649,(773) 947-7500,0001115,General Hospital,2023-12-31
Javon Bea Hospital - DBA Mercyhealth Hospital-Rockton Avenue,2400 N Rockton Avenue and 8201 East Riverside Boulevard,Rockford,Winnebago,61103,(815) 971-5000,0002048,General Hospital,2022-12-31
Jersey Community Hospital,400 Maple Summit Rd,Jerseyville,Jersey,62052,(618) 498-6402,0001156,General Hospital,2022-12-31
"John H. Stroger, Jr. Hospital of Cook County",1901 W Harrison Street,Chicago,Cook,60612,(312) 864-6000,0005272,General Hospital,2023-05-14
Katherine Shaw Bethea Hospital,403 E First Street,Dixon,Lee,61021,(815) 288-5531,0000497,General Hospital,2022-12-31
"Kindred Chicago Northlake, LLC - DBA Kindred Hospital - Chicago",2544 W Montrose Ave,Chicago,Cook,60618,(773) 267-2622,0006221,Long Term Acute Care Hospital,2022-12-15
"Kindred Chicago Northlake, LLC - DBA Kindred Hospital - Chicago",365 E North Ave,Northlake,Cook,60164,(708) 345-8100,0006213,Long Term Acute Care Hospital,2022-12-15
"Kindred Sycamore, LLC - DBA Kindred Hospital - Sycamore",225 Edward Street,Sycamore,De Kalb,60178,(815) 895-2144,0006197,Long Term Acute Care Hospital,2022-12-15
Kirby Medical Center,1000 Medical Center Drive,Monticello,Piatt,61856,(217) 762-2115,0005785,Critical Access Hospital,2023-09-28
Kishwaukee Community Hospital - DBA Northwestern Medicine Kishwaukee Hospital,1 Kish Hospital Drive,DeKalb,De Kalb,60115,(815) 756-1521,0005470,General Hospital,2023-10-01
La Rabida Children's Hospital,6501 S Promontory Drive,Chicago,Cook,60649,(773) 363-6700,0003012,Pediatric Hospital,2023-12-31
Lawrence County Memorial Hospital,2200 State St,Lawrenceville,Lawrence,62439,(618) 943-1000,0005769,Critical Access Hospital,2023-06-30
Loretto Hospital,645 S Central Ave,Chicago,Cook,60644,(773) 626-4300,0001289,General Hospital,2023-12-31
Loyola University Medical Center,2160 S 1st Ave.,Maywood,Cook,60153,(708) 216-9000,0005801,General Hospital,2023-06-29
Lutheran General Hospital - Advocate,1775 Dempster Street,Park Ridge,Cook,60068,(847) 723-2210,0004796,General Hospital,2022-12-31
Marianjoy Rehabilitation Center,26W171 Roosevelt Rd,Wheaton,Du Page,60187,(630) 909-8080,0003228,Rehabilitation Hospital,2022-12-31
Marion Hospital Corporation - DBA Heartland Regional Medical Center,3333 W DeYoung St,Marion,Williamson,62959,(618) 998-7000,0005298,General Hospital,2023-06-17
Marshall Browning Hospital,"900 N Washington St, PO Box 192",Du Quoin,Perry,62832,(618) 542-2146,0001388,Critical Access Hospital,2023-06-30
Mason District Hospital,"615 N Promenade St, PO Box 530",Havana,Mason,62644,(309) 543-4431,0001412,Critical Access Hospital,2023-12-31
Massac Memorial Hospital,28 Chick St,Metropolis,Massac,62960,(618) 524-2176,0001420,Critical Access Hospital,2023-12-31
McDonough District Hospital,525 E Grant Street,Macomb,Mc Donough,61455,(309) 833-4101,0001438,General Hospital,2023-06-30
Memorial Hospital,4500 Memorial Drive,Belleville,St Clair,62226,(618) 233-7750,0001461,General Hospital,2022-12-31
Memorial Hospital,1900 State Street,Chester,Randolph,62233,(618) 826-4581,0001495,Critical Access Hospital,2023-12-31
Memorial Hospital Association,1454 North County Road 2050 E,Carthage,Hancock,62321,(217) 357-8500,0005611,Critical Access Hospital,2023-08-14
Memorial Hospital of Carbondale,405 W Jackson St,Carbondale,Jackson,62901,(618) 549-0721,0000513,General Hospital,2023-06-30
Memorial Medical Center - DBA Springfield Memorial Hospital,701 N First St,Springfield,Sangamon,62781,(217) 788-3000,0001487,General Hospital,2022-12-31
Mendota Community Hospital - DBA OSF Saint Paul Medical Center,1401 East 12th Street,Mendota,La Salle,61342,(815) 539-7461,0005819,Critical Access Hospital,2023-12-06
"Mercy Harvard Hospital, Inc.",901 S Grant Street,Harvard,Mc Henry,60033,(815) 943-5431,0004911,Critical Access Hospital,2023-12-31
Methodist Medical Center of Illinois,221 Northeast Glen Oak Avenue,Peoria,Peoria,61636,(309) 672-5522,0001594,General Hospital,2022-12-31
Midwest Medical Center,1 Medical Center Dr,Galena,Jo Daviess,61036,(815) 777-1340,0005488,Critical Access Hospital,2023-12-04
"Midwestern Regional Medical Center, Inc.",2520 Elisha Ave,Zion,Lake,60099,(847) 872-4561,0002956,General Hospital,2023-06-30
"MIRA Neuro Behavioral Health Care, LLC",6775 Prosperi Drive,Tinley Park,Cook,60477,(708) 630-1062,0006304,Psychiatric Hospital,2023-10-13
Morris Hospital and Health Care Centers,150 W High St,Morris,Grundy,60450,(815) 942-2932,0001628,General Hospital,2023-06-30
Morrison Community Hospital,303 N Jackson Street,Morrison,Whiteside,61270,(815) 772-4003,0001636,Critical Access Hospital,2023-06-30
Mt. Sinai Hospital Medical Center,1500 S Fairfield Ave,Chicago,Cook,60608,(773) 257-5369,0001644,General Hospital,2023-12-31
Naperville Psychiatric Ventures - DBA Linden Oaks Hospital,852 S West St,Naperville,Du Page,60540,(630) 305-5500,0005058,Psychiatric Hospital,2023-08-31
NorthShore University HealthSystem - DBA NorthShore Univ. HealthSystem Evanston Hospital,2650 Ridge Avenue,Evanston,Cook,60201,(847) 570-2000,0000646,General Hospital,2022-12-31
NorthShore University HealthSystem - DBA NorthShore Univ. HealthSystem Glenbrook Hospital,2100 Pfingsten Road,Glenview,Cook,60025,(847) 657-5800,0003483,General Hospital,2022-12-31
NorthShore University HealthSystem - DBA NorthShore Univ. HealthSystem Highland Park Hosp,777 Park Avenue West,Highland Park,Lake,60035,(847) 432-8000,0005066,General Hospital,2022-12-31
NorthShore University HealthSystem - DBA NorthShore University HealthSystem Skokie Hospital,9600 Gross Point Rd,Skokie,Cook,60076,(847) 933-6001,0005587,General Hospital,2022-12-31
Northwest Community Hospital,800 W Central Road,Arlington Heights,Cook,60005,(847) 618-1000,0001701,General Hospital,2022-12-31
Northwestern Lake Forest Hospital,1000 N Westmoreland Rd,Lake Forest,Lake,60045,(847) 234-5600,0005660,General Hospital,2023-01-31
Northwestern Medicine - Huntley,10400 Haligus Road,Huntley,Mc Henry,60142,(224) 654-0000,0003889-2,General Hospital,
Northwestern Medicine - Woodstock,3701 Doty Road,Woodstock,Mc Henry,60098,(815) 338-2500,0003889-3,General Hospital,
"Northwestern Medicine McHenry, Woodstock, Huntley Hospital","4201 Medical Center Drive; 3701 Doty Road, Woodstock",McHenry,Mc Henry,60050,(815) 344-5000,0003889,General Hospital,2023-06-30
Northwestern Medicine-McHenry,4201 Medical Center Drive,McHenry,Mc Henry,60050,(815) 344-5000,0003889-1,General Hospital,
Northwestern Memorial Hospital,251 East Huron Street,Chicago,Cook,60611,(847) 535-6003,0003251,General Hospital,2022-12-31
OSF HealthCare System - DBA OSF Heart of Mary Medical Center,1400 West Park Avenue,Urbana,Champaign,61801,(217) 337-2000,0006080,General Hospital,2023-02-01
OSF Healthcare System - DBA OSF Sacred Heart Medical Center,812 North Logan Ave,Danville,Vermilion,61832,(217) 443-5000,0006072,General Hospital,2023-02-01
OSF Healthcare System - DBA OSF Saint Clare Medical Center,530 Park Avenue East,Princeton,Bureau,61356,(815) 875-2811,0006254,Critical Access Hospital,2023-06-30
OSF Holy Family Medical Center,1000 W Harlem Ave,Monmouth,Warren,61462,(309) 734-1400,0005439,Critical Access Hospital,2023-04-11
OSF Little Company of Mary Medical Center,2800 W 95th St,Evergreen Park,Cook,60805,(708) 422-6200,0006163,General Hospital,2023-01-31
OSF Saint Anthony's Health Center,1 Saint Anthony's Way,Alton,Madison,62002,(618) 465-2571,0005942,General Hospital,2023-10-31
OSF Saint Luke Medical Center,1051 West South Street,Kewanee,Henry,61443,(309) 852-7500,0005926,Critical Access Hospital,2023-03-31
Ottawa Regional Hospital & Healthcare Center - DBA OSF Saint Elizabeth Medical Center,1100 E Norris Drive,Ottawa,La Salle,61350,(815) 433-3100,0005520,General Hospital,2023-05-14
Palos Community Hospital,12251 S 80th Ave,Palos Heights,Cook,60463,(708) 923-4000,0003210,General Hospital,2022-12-31
Pana Community Hospital,101 East Ninth Street,Pana,Christian,62557,(217) 562-2131,0001776,Critical Access Hospital,2023-12-31
Paris Community Hospital - DBA Horizon Health,721 E Court St,Paris,Edgar,61944,(217) 465-4141,0001784,Critical Access Hospital,2023-06-30
Passavant Memorial Area Hospital Association - DBA Jacksonville Memorial Hospital,1600 West Walnut St,Jacksonville,Morgan,62650,(217) 479-5523,0001792,Critical Access Hospital,2023-04-25
Pekin Memorial Hospital,600 S 13th Street,Pekin,Tazewell,61554,(309) 347-1151,0001834,General Hospital,2022-12-31
Pinckneyville Community Hospital,5383 State Route 154,Pinckneyville,Perry,62274,(618) 357-2187,0005975,Critical Access Hospital,2023-09-27
"Pipeline - Weiss Memorial Hospital, LLC - DBA  Weiss Memorial Hospital",4646 N Marine Drive,Chicago,Cook,60640,(773) 564-5102,0006122,General Hospital,2023-01-27
"Pipeline - West Suburban Medical Center, LLC - DBA West Suburban Medical Center",3 Erie Court,Oak Park,Cook,60302,(708) 763-2983,0006130,General Hospital,2023-01-27
Presence Central and Suburban Hospitals Network - DBA Presence Mercy Medical Center,1325 N Highland Ave,Aurora,Kane,60506,(630) 859-2222,0004903,General Hospital,2023-12-31
Presence Central and Suburban Hospitals Network - DBA Presence Saint Joseph Hospital - Elgin,77 N Airlite Street,Elgin,Kane,60123,(847) 888-5474,0004887,General Hospital,2023-12-31
Presence Central and Suburban Hospitals Network - DBA Presence Saint Joseph Medical Center,333 N Madison St,Joliet,Will,60435,(815) 725-7133,0004838,General Hospital,2022-12-31
Presence Central and Suburban Hospitals Network - DBA Presence St. Mary's Hospital,500 W Court Street,Kankakee,Kankakee,60901,(815) 937-2400,0004879,General Hospital,2022-12-31
Presence Chicago Hospitals Network - DBA AMITA Health Saint Mary and Elizabeth Medical Ctr,2233 W Division Street,Chicago,Cook,60622,(312) 770-2000,0006007,General Hospital,2023-12-31
Presence Chicago Hospitals Network - DBA Presence Holy Family Medical Center,100 North River Road,Des Plaines,Cook,60016,(847) 813-3176,0006023,Long Term Acute Care Hospital,2022-12-31
Presence Chicago Hospitals Network - DBA Presence Resurrection Medical Center,7435 W Talcott Ave,Chicago,Cook,60631,(773) 990-7609,0006031,General Hospital,2022-12-31
Presence Chicago Hospitals Network - DBA Presence Saint Francis Hospital,355 Ridge Avenue,Evanston,Cook,60202,(847) 316-4000,0005991,General Hospital,2022-12-31
Presence Chicago Hospitals Network - DBA Presence Saint Joseph Hospital - Chicago,2900 N Lake Shore Dr,Chicago,Cook,60657,(773) 665-3000,0005983,General Hospital,2022-12-31
Presence St Mary and Elizabeth - DBA Presence Saint Elizabeth Hospital,1431 N. Claremont Avenue,Chicago,Cook,60622,(312) 770-2000,0006015,General Hospital,2023-12-31
Proctor Community Hospital,5409 N Knoxville Ave,Peoria,Peoria,61614,(309) 691-1000,0001925,General Hospital,2023-06-30
Provident Hospital of Cook County,500 East 51st Street,Chicago,Cook,60615,(312) 572-2000,0004549,General Hospital,2022-12-31
"Red Bud Illinois Company, LLC - DBA Red Bud Regional Hospital",325 Spring Street,Red Bud,Randolph,62278,(618) 282-3831,0005199,Critical Access Hospital,2023-09-02
Rehabilitation Institute of Chicago - DBA Shirley Ryan Abilitylab,355 E Erie St,Chicago,Cook,60611,(312) 238-0815,0006056,Rehabilitation Hospital,2023-03-24
Richland Memorial Hospital Inc - DBA Carle Richland Memorial Hospital,800 East Locust Street,Olney,Richland,62450,(618) 395-2131,0004788,General Hospital,2023-01-31
Riveredge Hospital Inc.,8311 West Roosevelt Road,Forest Park,Cook,60130,(708) 771-7000,0005124,Psychiatric Hospital,2023-02-28
Riverside Medical Center,350 N Wall Street,Kankakee,Kankakee,60901,(815) 933-1671,0002014,General Hospital,2023-12-31
RML Health Providers Limited Partnership - DBA RML Chicago,3435 W Van Buren St,Chicago,Cook,60624,(773) 826-6400,0005678,Long Term Acute Care Hospital,2023-06-30
RML Health Providers Limited Partnership - DBA RML Hinsdale,5601 S County Line Road,Hinsdale,Du Page,60521,(630) 286-4123,0004804,Long Term Acute Care Hospital,2023-05-31
Rochelle Community Hospital,900 N 2nd St,Rochelle,Ogle,61068,(815) 562-2181,0002022,Critical Access Hospital,2023-06-30
Roseland Community Hospital,45 W 111th Street,Chicago,Cook,60628,(773) 995-3000,0002063,General Hospital,2023-12-31
"Rush Oak Park Hospital, Inc.",520 S Maple Ave,Oak Park,Cook,60304,(708) 383-9300,0001750,General Hospital,2023-06-30
Rush University Medical Center,1653 W Congress Pkwy,Chicago,Cook,60612,(312) 942-5000,0001917,General Hospital,2023-12-31
Saint Anthony Hospital,2875 W 19th St,Chicago,Cook,60623,(773) 484-1000,0005637,General Hospital,2023-06-30
Saint Anthony Medical Center,5666 E State Street,Rockford,Winnebago,61108,(815) 226-2000,0002253,General Hospital,2022-12-31
Saint Francis Medical Center,530 North East Glen Oak Ave,Peoria,Peoria,61637,(309) 655-7796,0002394,General Hospital,2022-12-31
Saint James Hospital,2500 West Reynolds Street,Pontiac,Livingston,61764,(815) 842-2828,0005264,General Hospital,2023-03-02
Salem Township Hospital,1201 Ricker Dr,Salem,Marion,62881,(618) 548-3194,0002089,Critical Access Hospital,2023-06-30
Sarah Bush Lincoln Health Center,"1000 Health Ctr Dr, PO Box 372",Mattoon,Coles,61938,(217) 258-2525,0003392,General Hospital,2023-12-31
Sarah Bush Lincoln Health Center - DBA Sarah Bush Lincoln Fayette County Hospital,650 W Taylor St,Vandalia,Fayette,62471,(618) 283-1231,0006320,Critical Access Hospital,2023-06-29
Sarah D. Culbertson Memorial Hospital,238 S Congress Street,Rushville,Schuyler,62681,(217) 322-4321,0002105,Critical Access Hospital,2023-12-31
Schwab Rehabilitation Hospital and Care Network,1401 S California Avenue,Chicago,Cook,60608,(773) 522-2010,0002147,Rehabilitation Hospital,2022-12-31
Shriners Hospital for Children - Chicago,2211 N Oak Park Ave,Chicago,Cook,60707,(773) 622-5400,0003152,Pediatric Hospital,2022-12-31
Silver Cross Hospital and Medical Centers,1900 Silver Cross Blvd,New Lenox,Will,60451,(815) 300-1100,0005827,General Hospital,2023-02-25
Silver Oaks Behavorial Hospital,1004 Pawlak Parkway,New Lenox,Will,60451,(815) 215-3331,0006114,Psychiatric Hospital,2023-01-22
South Shore Hospital,8012 S Crandon Avenue,Chicago,Cook,60617,(773) 356-5000,0003459,General Hospital,2023-12-31
Sparta Community Hospital,818 E Broadway St,Sparta,Randolph,62286,(618) 443-2177,0002220,Critical Access Hospital,2023-06-30
Springfield Hospital Inc - DBA Lincoln Prairie Behavioral Health Center,5230 South Sixth Street,Springfield,Sangamon,62703,(217) 585-4710,0005512,Psychiatric Hospital,2023-05-14
St Alexius Medical Center,1555 Barrington Rd,Hoffman Estates,Cook,60169,(847) 843-2000,0004994,General Hospital,2023-01-31
St Joseph Memorial Hospital,2 S Hospital Dr,Murphysboro,Jackson,62966,(618) 684-3156,0004614,Critical Access Hospital,2023-07-04
St Joseph's Hospital,12866 Troxler Avenue,Highland,Madison,62249,(618) 651-2600,0005892,Critical Access Hospital,2023-08-22
St Margaret's Health - Peru,925 West Street,Peru,La Salle,61354,(815) 223-3300,0003418,General Hospital,2022-12-31
St Margaret's Health - Spring Valley,600 E First St,Spring Valley,Bureau,61362,(815) 664-5311,0002576,General Hospital,2022-12-31
St. Anthony's Memorial Hospital,503 N Maple St,Effingham,Effingham,62401,(217) 347-1495,0002279,General Hospital,2022-12-31
St. Bernard Hospital,326 W 64th Street,Chicago,Cook,60621,(773) 962-3900,0002303,General Hospital,2023-12-31
St. Francis Hospital,"1215 Franciscan Dr, PO BOX 1215",Litchfield,Montgomery,62056,(217) 324-8500,0002386,Critical Access Hospital,2023-12-31
St. John's Hospital,800 E Carpenter St,Springfield,Sangamon,62702,(217) 544-6464,0002451,General Hospital,2023-06-30
St. Joseph Medical Center,2200 E Washington Street,Bloomington,Mc Lean,61701,(309) 662-3311,0002535,General Hospital,2022-12-31
St. Joseph's Hospital,9515 Holy Cross Ln,Breese,Clinton,62230,(618) 526-4511,0002527,General Hospital,2023-06-30
St. Mary Medical Center,3333 North Seminary Street,Galesburg,Knox,61401,(309) 344-3161,0002675,General Hospital,2022-12-31
St. Mary's Hospital,1800 E Lake Shore Dr,Decatur,Macon,62521,(217) 464-2473,0002592,General Hospital,2023-06-30
St. Mary's Hospital - DBA SSM Health St. Mary's Hospital - Centralia,400 North Pleasant Avenue,Centralia,Marion,62801,(618) 436-8000,0002642,General Hospital,2023-12-31
Swedish Covenant Health - DBA Swedish Hospital,5145 N California Avenue,Chicago,Cook,60625,(773) 878-8200,0002717,General Hospital,2023-12-31
SwedishAmerican Hospital,1401 E State Street,Rockford,Winnebago,61104,(815) 968-4400,0002725,General Hospital,2022-12-31
SwedishAmerican Medical Center Belvidere,1625 South State Street,Belvidere,Boone,61008,(815) 547-5441,0005504,General Hospital,2023-01-13
Taylorville Memorial Hospital,201 E Pleasant St,Taylorville,Christian,62568,(217) 707-5250,0005447,Critical Access Hospital,2023-04-30
The Abraham Lincoln Memorial Hospital - DBA Lincoln Memorial Hospital,200 Stahllhut Dr,Lincoln,Logan,62656,(217) 732-2161,0005728,Critical Access Hospital,2023-06-30
